"run","discount","nblock","type","row","names","par","true_par","convergence"
1,8,1,1,1,"size",0.991118186274893,0.333666666666667,0
1,8,1,1,1,"shape",0.001,0.333,0
1,8,1,1,1,"color",0.00788181372510712,0.333333333333333,0
1,8,1,1,1,"lambda",5.66253595973383,1,0
1,8,1,1,1,"r",1.99999813641794,1,0
1,8,1,1,1,"q",1.00000091776706,1,0
1,8,1,1,1,"b0",0.41268531634642,0.5,0
1,8,1,1,1,"b1",0.58731468365358,0.5,0
1,8,1,1,1,"tau",0.00360677742320132,0.1,0
2,8,1,1,1,"size",0.247950901012301,0.333666666666667,0
2,8,1,1,1,"shape",0.359074442559762,0.333,0
2,8,1,1,1,"color",0.392974656427937,0.333333333333333,0
2,8,1,1,1,"lambda",0.606007162626012,1,0
2,8,1,1,1,"r",1.99999273727031,1,0
2,8,1,1,1,"q",1.18726453633823,1,0
2,8,1,1,1,"b0",0.455308606584035,0.5,0
2,8,1,1,1,"b1",0.544691393415965,0.5,0
2,8,1,1,1,"tau",0.001,0.1,0
3,8,1,1,1,"size",0.247950901012301,0.333666666666667,0
3,8,1,1,1,"shape",0.359074442559762,0.333,0
3,8,1,1,1,"color",0.392974656427937,0.333333333333333,0
3,8,1,1,1,"lambda",0.606007162626012,1,0
3,8,1,1,1,"r",1.99999273727031,1,0
3,8,1,1,1,"q",1.18726453633823,1,0
3,8,1,1,1,"b0",0.455308606584035,0.5,0
3,8,1,1,1,"b1",0.544691393415965,0.5,0
3,8,1,1,1,"tau",0.001,0.1,0
4,8,1,1,1,"size",0.247950901012301,0.333666666666667,0
4,8,1,1,1,"shape",0.359074442559762,0.333,0
4,8,1,1,1,"color",0.392974656427937,0.333333333333333,0
4,8,1,1,1,"lambda",0.606007162626012,1,0
4,8,1,1,1,"r",1.99999273727031,1,0
4,8,1,1,1,"q",1.18726453633823,1,0
4,8,1,1,1,"b0",0.455308606584035,0.5,0
4,8,1,1,1,"b1",0.544691393415965,0.5,0
4,8,1,1,1,"tau",0.001,0.1,0
5,8,1,1,1,"size",0.134938892975864,0.333666666666667,0
5,8,1,1,1,"shape",0.153824275566236,0.333,0
5,8,1,1,1,"color",0.7112368314579,0.333333333333333,0
5,8,1,1,1,"lambda",1.35455688140129,1,0
5,8,1,1,1,"r",1.40398045716718,1,0
5,8,1,1,1,"q",1.5928145287979,1,0
5,8,1,1,1,"b0",0.636037406810904,0.5,0
5,8,1,1,1,"b1",0.363962593189396,0.5,0
5,8,1,1,1,"tau",0.00197638849242788,0.1,0
6,8,1,1,1,"size",0.332487046313465,0.333666666666667,0
6,8,1,1,1,"shape",0.333891449031782,0.333,0
6,8,1,1,1,"color",0.333621504654754,0.333333333333333,0
6,8,1,1,1,"lambda",0.526147663913843,1,0
6,8,1,1,1,"r",1.49671199233952,1,0
6,8,1,1,1,"q",1.50328363114873,1,0
6,8,1,1,1,"b0",0.848418559312301,0.5,0
6,8,1,1,1,"b1",0.151581440687699,0.5,0
6,8,1,1,1,"tau",0.0378295338776031,0.1,0
7,8,1,1,1,"size",0.0010000000382134,0.333666666666667,0
7,8,1,1,1,"shape",0.936377327211958,0.333,0
7,8,1,1,1,"color",0.0626226727498286,0.333333333333333,0
7,8,1,1,1,"lambda",9.99999981356672,1,0
7,8,1,1,1,"r",1.04138743590004,1,0
7,8,1,1,1,"q",1.95060188091643,1,0
7,8,1,1,1,"b0",0.346057716122316,0.5,0
7,8,1,1,1,"b1",0.653942283877684,0.5,0
7,8,1,1,1,"tau",0.0260085367818134,0.1,0
8,8,1,1,1,"size",0.134938892975864,0.333666666666667,0
8,8,1,1,1,"shape",0.153824275566236,0.333,0
8,8,1,1,1,"color",0.7112368314579,0.333333333333333,0
8,8,1,1,1,"lambda",1.35455688140129,1,0
8,8,1,1,1,"r",1.40398045716718,1,0
8,8,1,1,1,"q",1.5928145287979,1,0
8,8,1,1,1,"b0",0.636037406810904,0.5,0
8,8,1,1,1,"b1",0.363962593189396,0.5,0
8,8,1,1,1,"tau",0.00197638849242788,0.1,0
9,8,1,1,1,"size",0.134938892975864,0.333666666666667,0
9,8,1,1,1,"shape",0.153824275566236,0.333,0
9,8,1,1,1,"color",0.7112368314579,0.333333333333333,0
9,8,1,1,1,"lambda",1.35455688140129,1,0
9,8,1,1,1,"r",1.40398045716718,1,0
9,8,1,1,1,"q",1.5928145287979,1,0
9,8,1,1,1,"b0",0.636037406810904,0.5,0
9,8,1,1,1,"b1",0.363962593189396,0.5,0
9,8,1,1,1,"tau",0.00197638849242788,0.1,0
10,8,1,1,1,"size",0.0532220418026742,0.333666666666667,0
