"run","discount","nblock","type","row","names","par","true_par","convergence"
1,0,6,6,1,"size",0.00663274263833191,0.333666666666667,0
1,0,6,6,1,"shape",0.258651367569068,0.333,0
1,0,6,6,1,"color",0.7347158897926,0.333333333333333,0
1,0,6,6,1,"lambda",7.85837944815745,1,0
1,0,6,6,1,"r",1.00000011340246,1,0
1,0,6,6,1,"q",1.99999997137097,1,0
1,0,6,6,1,"b0",0.52606428029306,0.5,0
1,0,6,6,1,"b1",0.47393571970694,0.5,0
1,0,6,6,1,"tau",0.171837061583269,0.1,0
2,0,6,6,1,"size",0.00100000370240812,0.333666666666667,0
2,0,6,6,1,"shape",0.991967233146659,0.333,0
2,0,6,6,1,"color",0.00703276315093303,0.333333333333333,0
2,0,6,6,1,"lambda",5.29080641086495,1,0
2,0,6,6,1,"r",1.99997920241293,1,0
2,0,6,6,1,"q",1.00001042662275,1,0
2,0,6,6,1,"b0",0.514208925837273,0.5,0
2,0,6,6,1,"b1",0.485791074162727,0.5,0
2,0,6,6,1,"tau",0.0750332403511508,0.1,0
3,0,6,6,1,"size",0.0852632859968724,0.333666666666667,0
3,0,6,6,1,"shape",0.56567389591507,0.333,0
3,0,6,6,1,"color",0.349062818088058,0.333333333333333,0
3,0,6,6,1,"lambda",1.10527973832006,1,0
3,0,6,6,1,"r",1.37881194425675,1,0
3,0,6,6,1,"q",1.61664161089495,1,0
3,0,6,6,1,"b0",0.496000929410514,0.5,0
3,0,6,6,1,"b1",0.503999070589486,0.5,0
3,0,6,6,1,"tau",0.0662503838380978,0.1,0
4,0,6,6,1,"size",0.311502073824959,0.333666666666667,0
4,0,6,6,1,"shape",0.231633331880561,0.333,0
4,0,6,6,1,"color",0.45686459429448,0.333333333333333,0
4,0,6,6,1,"lambda",9.99996743650785,1,0
4,0,6,6,1,"r",1.09171639107212,1,0
4,0,6,6,1,"q",1.9999997722268,1,0
4,0,6,6,1,"b0",0.506924879850654,0.5,0
4,0,6,6,1,"b1",0.493075120149346,0.5,0
4,0,6,6,1,"tau",0.130677340018383,0.1,0
5,0,6,6,1,"size",0.0806017931240791,0.333666666666667,0
5,0,6,6,1,"shape",0.234499683555982,0.333,0
5,0,6,6,1,"color",0.684898523319939,0.333333333333333,0
5,0,6,6,1,"lambda",0.623257817893298,1,0
5,0,6,6,1,"r",1.70502258471477,1,0
5,0,6,6,1,"q",1.06144035818079,1,0
5,0,6,6,1,"b0",0.505273173536289,0.5,0
5,0,6,6,1,"b1",0.494726826463711,0.5,0
5,0,6,6,1,"tau",0.0553868859191746,0.1,0
6,0,6,6,1,"size",0.461644385492762,0.333666666666667,0
6,0,6,6,1,"shape",0.0538431350544323,0.333,0
6,0,6,6,1,"color",0.484512479452806,0.333333333333333,0
6,0,6,6,1,"lambda",0.818924660765972,1,0
6,0,6,6,1,"r",1.99999914614764,1,0
6,0,6,6,1,"q",1.00000060086171,1,0
6,0,6,6,1,"b0",0.506676738005856,0.5,0
6,0,6,6,1,"b1",0.493323261994144,0.5,0
6,0,6,6,1,"tau",0.0307591465964009,0.1,0
7,0,6,6,1,"size",0.976648938549451,0.333666666666667,0
7,0,6,6,1,"shape",0.0121212020945082,0.333,0
