"run","discount","nblock","type","row","names","par","true_par","convergence"
1,8,6,1,1,"size",0.343784399572368,0.333666666666667,0
1,8,6,1,1,"shape",0.241939498747994,0.333,0
1,8,6,1,1,"color",0.414276101679638,0.333333333333333,0
1,8,6,1,1,"lambda",0.00100064928252102,0.1,0
1,8,6,1,1,"r",1.55408433046197,1,0
1,8,6,1,1,"q",1.44449507079871,1,0
1,8,6,1,1,"b0",0.786586912451638,0.5,0
1,8,6,1,1,"b1",0.213413087548362,0.5,0
1,8,6,1,1,"tau",1.26885702960893,0.1,0
2,8,6,1,1,"size",0.00133638571037314,0.333666666666667,0
2,8,6,1,1,"shape",0.909676215445716,0.333,0
2,8,6,1,1,"color",0.0889873988439106,0.333333333333333,0
2,8,6,1,1,"lambda",2.61686870378584,0.1,0
2,8,6,1,1,"r",1.0000000293469,1,0
2,8,6,1,1,"q",1.99999998373392,1,0
2,8,6,1,1,"b0",0.485011699371641,0.5,0
2,8,6,1,1,"b1",0.514988300628359,0.5,0
2,8,6,1,1,"tau",0.0431837941315534,0.1,0
3,8,6,1,1,"size",0.886182735495692,0.333666666666667,0
3,8,6,1,1,"shape",0.00100000034386223,0.333,0
3,8,6,1,1,"color",0.112817264160446,0.333333333333333,0
3,8,6,1,1,"lambda",0.218613692065098,0.1,0
3,8,6,1,1,"r",1.99999943785634,1,0
3,8,6,1,1,"q",1.0000002760354,1,0
3,8,6,1,1,"b0",0.49895837214874,0.5,0
3,8,6,1,1,"b1",0.50104162785126,0.5,0
3,8,6,1,1,"tau",0.0223409014665661,0.1,0
4,8,6,1,1,"size",0.542469725299386,0.333666666666667,0
4,8,6,1,1,"shape",0.456511713231687,0.333,0
4,8,6,1,1,"color",0.00101856146892693,0.333333333333333,0
4,8,6,1,1,"lambda",0.00100032242511031,0.1,0
4,8,6,1,1,"r",1.45444083052675,1,0
4,8,6,1,1,"q",1.54427055184002,1,0
4,8,6,1,1,"b0",0.645640112450193,0.5,0
4,8,6,1,1,"b1",0.354359887549807,0.5,0
4,8,6,1,1,"tau",0.703046526172984,0.1,0
5,8,6,1,1,"size",0.717091341195903,0.333666666666667,0
5,8,6,1,1,"shape",0.00100060646208034,0.333,0
5,8,6,1,1,"color",0.281908052342017,0.333333333333333,0
5,8,6,1,1,"lambda",0.230924247927563,0.1,0
5,8,6,1,1,"r",1.00000058684783,1,0
5,8,6,1,1,"q",1.99999878679261,1,0
5,8,6,1,1,"b0",0.486577508431559,0.5,0
5,8,6,1,1,"b1",0.513422491568441,0.5,0
5,8,6,1,1,"tau",0.052593166862705,0.1,0
6,8,6,1,1,"size",0.00100010013081724,0.333666666666667,0
6,8,6,1,1,"shape",0.823251263047195,0.333,0
6,8,6,1,1,"color",0.175748636821988,0.333333333333333,0
6,8,6,1,1,"lambda",2.05134189281416,0.1,0
6,8,6,1,1,"r",1.00000003907852,1,0
6,8,6,1,1,"q",1.99999998384579,1,0
6,8,6,1,1,"b0",0.526384965000702,0.5,0
6,8,6,1,1,"b1",0.473615034999298,0.5,0
6,8,6,1,1,"tau",0.207702281518341,0.1,0
7,8,6,1,1,"size",0.00100003456442072,0.333666666666667,0
7,8,6,1,1,"shape",0.946112588274926,0.333,0
7,8,6,1,1,"color",0.0528873771606529,0.333333333333333,0
7,8,6,1,1,"lambda",9.99986577571721,0.1,0
7,8,6,1,1,"r",1.00000091039857,1,0
7,8,6,1,1,"q",1.99999816578881,1,0
7,8,6,1,1,"b0",0.46354473768462,0.5,0
7,8,6,1,1,"b1",0.53645526231538,0.5,0
7,8,6,1,1,"tau",0.0776926678381341,0.1,0
8,8,6,1,1,"size",0.331109383527045,0.333666666666667,0
8,8,6,1,1,"shape",0.597114052635896,0.333,0
8,8,6,1,1,"color",0.0717765638370591,0.333333333333333,0
8,8,6,1,1,"lambda",9.99999967574444,0.1,0
8,8,6,1,1,"r",1.0000000488564,1,0
8,8,6,1,1,"q",1.99999988788113,1,0
8,8,6,1,1,"b0",0.464300109411361,0.5,0
8,8,6,1,1,"b1",0.535699890588639,0.5,0
8,8,6,1,1,"tau",0.0693326956317448,0.1,0
9,8,6,1,1,"size",0.00100001069118201,0.333666666666667,0
9,8,6,1,1,"shape",0.921566890301612,0.333,0
9,8,6,1,1,"color",0.0774330990072057,0.333333333333333,0
9,8,6,1,1,"lambda",1.76526970176159,0.1,0
9,8,6,1,1,"r",1.00000002368991,1,0
9,8,6,1,1,"q",1.99999998738292,1,0
9,8,6,1,1,"b0",0.484709582995386,0.5,0
9,8,6,1,1,"b1",0.515290417004614,0.5,0
9,8,6,1,1,"tau",0.0150982526272034,0.1,0
10,8,6,1,1,"size",0.034698502496753,0.333666666666667,0
10,8,6,1,1,"shape",0.867767862564962,0.333,0
10,8,6,1,1,"color",0.0975336349382852,0.333333333333333,0
10,8,6,1,1,"lambda",3.857164682285,0.1,0
10,8,6,1,1,"r",1.00000002165601,1,0
10,8,6,1,1,"q",1.9999999860869,1,0
10,8,6,1,1,"b0",0.475260867731844,0.5,0
10,8,6,1,1,"b1",0.524739132268156,0.5,0
10,8,6,1,1,"tau",0.067537366687109,0.1,0
11,8,6,1,1,"size",0.59635210435631,0.333666666666667,0
11,8,6,1,1,"shape",0.00100001694696065,0.333,0
11,8,6,1,1,"color",0.402647878696729,0.333333333333333,0
11,8,6,1,1,"lambda",0.70006755137254,0.1,0
11,8,6,1,1,"r",1.00000003686924,1,0
11,8,6,1,1,"q",1.99999991135374,1,0
11,8,6,1,1,"b0",0.525377544168189,0.5,0
11,8,6,1,1,"b1",0.474622455831811,0.5,0
11,8,6,1,1,"tau",0.540882923455946,0.1,0
12,8,6,1,1,"size",0.940689099096617,0.333666666666667,0
12,8,6,1,1,"shape",0.00100002929889531,0.333,0
12,8,6,1,1,"color",0.0583108716044881,0.333333333333333,0
12,8,6,1,1,"lambda",9.99999423575231,0.1,0
12,8,6,1,1,"r",1.00000006534384,1,0
12,8,6,1,1,"q",1.9999999840739,1,0
12,8,6,1,1,"b0",0.48138531638515,0.5,0
12,8,6,1,1,"b1",0.51861468361485,0.5,0
12,8,6,1,1,"tau",0.170784517312754,0.1,0
13,8,6,1,1,"size",0.788976294760927,0.333666666666667,0
13,8,6,1,1,"shape",0.0199675590477014,0.333,0
13,8,6,1,1,"color",0.191056146191372,0.333333333333333,0
13,8,6,1,1,"lambda",9.99999069735549,0.1,0
13,8,6,1,1,"r",1.0000003240084,1,0
13,8,6,1,1,"q",1.99999936775252,1,0
13,8,6,1,1,"b0",0.401144969476085,0.5,0
13,8,6,1,1,"b1",0.598855030523915,0.5,0
13,8,6,1,1,"tau",0.468206197406425,0.1,0
14,8,6,1,1,"size",0.647695967142594,0.333666666666667,0
14,8,6,1,1,"shape",0.351304032857407,0.333,0
14,8,6,1,1,"color",0.001,0.333333333333333,0
14,8,6,1,1,"lambda",0.0381888877400886,0.1,0
14,8,6,1,1,"r",1.47340734502082,1,0
14,8,6,1,1,"q",1.52667416750433,1,0
14,8,6,1,1,"b0",0.496969065983254,0.5,0
14,8,6,1,1,"b1",0.503030934016746,0.5,0
14,8,6,1,1,"tau",0.0560529933562434,0.1,0
15,8,6,1,1,"size",0.513984403823435,0.333666666666667,0
15,8,6,1,1,"shape",0.429079274658751,0.333,0
15,8,6,1,1,"color",0.056936321517811,0.333333333333333,0
15,8,6,1,1,"lambda",9.99999964395231,0.1,0
15,8,6,1,1,"r",1.0000000470061,1,0
15,8,6,1,1,"q",1.9999998910885,1,0
15,8,6,1,1,"b0",0.497886245932178,0.5,0
15,8,6,1,1,"b1",0.502113754067822,0.5,0
15,8,6,1,1,"tau",0.106179315422973,0.1,0
16,8,6,1,1,"size",0.805584766334465,0.333666666666667,0
16,8,6,1,1,"shape",0.116570806201777,0.333,0
16,8,6,1,1,"color",0.0778444274637587,0.333333333333333,0
16,8,6,1,1,"lambda",2.8700245414489,0.1,0
16,8,6,1,1,"r",1.00000004600579,1,0
16,8,6,1,1,"q",1.99999989322773,1,0
16,8,6,1,1,"b0",0.492718665987074,0.5,0
16,8,6,1,1,"b1",0.507281334012926,0.5,0
16,8,6,1,1,"tau",0.034552513111599,0.1,0
17,8,6,1,1,"size",0.916340952422179,0.333666666666667,0
