"run","discount","nblock","type","row","names","par","true_par","convergence"
1,8,6,1,1,"size",0.0026810794468196,0.333666666666667,0
1,8,6,1,1,"shape",0.966458007360635,0.333,0
1,8,6,1,1,"color",0.0308609131925458,0.333333333333333,0
1,8,6,1,1,"lambda",1.27352062911696,1,0
1,8,6,1,1,"r",1.9999999999702,1,0
1,8,6,1,1,"q",1.00000000610821,1,0
1,8,6,1,1,"b0",0.479178888432219,0.5,0
1,8,6,1,1,"b1",0.520821111567781,0.5,0
1,8,6,1,1,"tau",0.0258222119652643,0.1,0
2,8,6,1,1,"size",0.472941773158012,0.333666666666667,0
2,8,6,1,1,"shape",0.38429541671058,0.333,0
2,8,6,1,1,"color",0.142762810131408,0.333333333333333,0
2,8,6,1,1,"lambda",9.9999965388472,1,0
2,8,6,1,1,"r",1.34974330725998,1,0
2,8,6,1,1,"q",1.98183609852382,1,0
2,8,6,1,1,"b0",0.455066690271682,0.5,0
2,8,6,1,1,"b1",0.544933309728318,0.5,0
2,8,6,1,1,"tau",0.16534454642457,0.1,0
3,8,6,1,1,"size",0.636769463013903,0.333666666666667,0
3,8,6,1,1,"shape",0.124051598266072,0.333,0
3,8,6,1,1,"color",0.239178938720025,0.333333333333333,0
3,8,6,1,1,"lambda",2.82616150879291,1,0
3,8,6,1,1,"r",1.00000002161092,1,0
3,8,6,1,1,"q",1.99999994240879,1,0
3,8,6,1,1,"b0",0.490629883493037,0.5,0
3,8,6,1,1,"b1",0.509370116506963,0.5,0
3,8,6,1,1,"tau",0.170713916543279,0.1,0
4,8,6,1,1,"size",0.504856809145028,0.333666666666667,0
4,8,6,1,1,"shape",0.00100000000000001,0.333,0
4,8,6,1,1,"color",0.494143190854972,0.333333333333333,0
4,8,6,1,1,"lambda",6.80318297920515,1,0
4,8,6,1,1,"r",1.71206322953907,1,0
4,8,6,1,1,"q",1.22286960290617,1,0
4,8,6,1,1,"b0",0.965726041221501,0.5,0
4,8,6,1,1,"b1",0.0342739587784996,0.5,0
4,8,6,1,1,"tau",0.417428654006575,0.1,0
5,8,6,1,1,"size",0.0437198604453758,0.333666666666667,0
5,8,6,1,1,"shape",0.660543270199831,0.333,0
5,8,6,1,1,"color",0.295736869354794,0.333333333333333,0
5,8,6,1,1,"lambda",0.619655706523926,1,0
5,8,6,1,1,"r",1.0000000388102,1,0
5,8,6,1,1,"q",1.9999999926554,1,0
5,8,6,1,1,"b0",0.491576091801998,0.5,0
5,8,6,1,1,"b1",0.508423908198002,0.5,0
5,8,6,1,1,"tau",0.0352616845666691,0.1,0
6,8,6,1,1,"size",0.001,0.333666666666667,0
6,8,6,1,1,"shape",0.230245764327426,0.333,0
6,8,6,1,1,"color",0.768754235672574,0.333333333333333,0
6,8,6,1,1,"lambda",5.22777609393508,1,0
6,8,6,1,1,"r",1.99999725639517,1,0
6,8,6,1,1,"q",1.000001926816,1,0
6,8,6,1,1,"b0",0.984204384868938,0.5,0
6,8,6,1,1,"b1",0.0157956151310624,0.5,0
6,8,6,1,1,"tau",0.411825455617595,0.1,0
7,8,6,1,1,"size",0.00100000705249214,0.333666666666667,0
7,8,6,1,1,"shape",0.748977728375233,0.333,0
7,8,6,1,1,"color",0.250022264572274,0.333333333333333,0
7,8,6,1,1,"lambda",1.26670282985903,1,0
7,8,6,1,1,"r",1.99999932660518,1,0
7,8,6,1,1,"q",1.0000003291947,1,0
7,8,6,1,1,"b0",0.544180038280771,0.5,0
7,8,6,1,1,"b1",0.455819961719229,0.5,0
7,8,6,1,1,"tau",0.193262546321875,0.1,0
8,8,6,1,1,"size",0.415175750592199,0.333666666666667,0
8,8,6,1,1,"shape",0.356740897947408,0.333,0
8,8,6,1,1,"color",0.228083351460393,0.333333333333333,0
8,8,6,1,1,"lambda",4.88788930183298,1,0
8,8,6,1,1,"r",1.00000002504686,1,0
8,8,6,1,1,"q",1.99999993480657,1,0
8,8,6,1,1,"b0",0.448610809487035,0.5,0
8,8,6,1,1,"b1",0.551389190512965,0.5,0
8,8,6,1,1,"tau",0.127132724156825,0.1,0
9,8,6,1,1,"size",0.00100000000000003,0.333666666666667,0
9,8,6,1,1,"shape",0.963650816960934,0.333,0
9,8,6,1,1,"color",0.0353491830390657,0.333333333333333,0
9,8,6,1,1,"lambda",8.53809494454605,1,0
9,8,6,1,1,"r",1.65162326944411,1,0
9,8,6,1,1,"q",1.99998367851971,1,0
9,8,6,1,1,"b0",0.482611923029085,0.5,0
9,8,6,1,1,"b1",0.517388076970915,0.5,0
9,8,6,1,1,"tau",0.0176744339481736,0.1,0
10,8,6,1,1,"size",0.379215032211317,0.333666666666667,0
10,8,6,1,1,"shape",0.284097946265476,0.333,0
10,8,6,1,1,"color",0.336687021523207,0.333333333333333,0
10,8,6,1,1,"lambda",1.66969779043514,1,0
10,8,6,1,1,"r",1.99999990889884,1,0
10,8,6,1,1,"q",1.00000003807454,1,0
10,8,6,1,1,"b0",0.520573479705264,0.5,0
10,8,6,1,1,"b1",0.479426520294736,0.5,0
10,8,6,1,1,"tau",0.165438079747802,0.1,0
