"","run","discount","nblock","type","row","names","par","true_par","convergence"
"1",1,3,30,1,1,"size",0.452767080761945,0.333666666666667,0
"2",1,3,30,1,1,"shape",0.447646661256756,0.333,0
"3",1,3,30,1,1,"color",0.0995862579813056,0.333333333333333,0
"4",1,3,30,1,1,"lambda",9.99999499082975,1,0
"5",1,3,30,1,1,"b0",0.476345355203969,1,0
"6",1,3,30,1,1,"b1",0.523654644796031,1,0
"7",1,3,30,1,1,"tau",0.295675442431529,0.5,0
"8",1,3,30,1,1,"size",0.452767080761945,0.5,0
"9",1,3,30,1,1,"shape",0.447646661256756,0.1,0
"10",2,3,30,1,1,"size",0.00100000000000014,0.333666666666667,0
"11",2,3,30,1,1,"shape",0.828513378127145,0.333,0
"12",2,3,30,1,1,"color",0.170486621872855,0.333333333333333,0
"13",2,3,30,1,1,"lambda",9.43511352475756,1,0
"14",2,3,30,1,1,"b0",0.501453411048311,1,0
"15",2,3,30,1,1,"b1",0.498546588951689,1,0
"16",2,3,30,1,1,"tau",0.504410641080324,0.5,0
"17",2,3,30,1,1,"size",0.00100000000000014,0.5,0
"18",2,3,30,1,1,"shape",0.828513378127145,0.1,0
"19",3,3,30,1,1,"size",0.001,0.333666666666667,0
"20",3,3,30,1,1,"shape",0.947393672230828,0.333,0
"21",3,3,30,1,1,"color",0.0516063277691717,0.333333333333333,0
"22",3,3,30,1,1,"lambda",4.84292995877183,1,0
"23",3,3,30,1,1,"b0",0.487657135381903,1,0
"24",3,3,30,1,1,"b1",0.512342864618098,1,0
"25",3,3,30,1,1,"tau",0.0648677014198785,0.5,0
"26",3,3,30,1,1,"size",0.001,0.5,0
"27",3,3,30,1,1,"shape",0.947393672230828,0.1,0
"28",4,3,30,1,1,"size",0.0010000000000001,0.333666666666667,0
"29",4,3,30,1,1,"shape",0.838666833439226,0.333,0
"30",4,3,30,1,1,"color",0.160333166560774,0.333333333333333,0
"31",4,3,30,1,1,"lambda",9.65257693368211,1,0
"32",4,3,30,1,1,"b0",0.541077281063305,1,0
"33",4,3,30,1,1,"b1",0.458922718936693,1,0
"34",4,3,30,1,1,"tau",0.434092454845597,0.5,0
"35",4,3,30,1,1,"size",0.0010000000000001,0.5,0
"36",4,3,30,1,1,"shape",0.838666833439226,0.1,0
"37",5,3,30,1,1,"size",0.435753263580774,0.333666666666667,0
"38",5,3,30,1,1,"shape",0.437114644465209,0.333,0
"39",5,3,30,1,1,"color",0.127132091954017,0.333333333333333,0
"40",5,3,30,1,1,"lambda",9.99999998515457,1,0
"41",5,3,30,1,1,"b0",0.449265307250565,1,0
"42",5,3,30,1,1,"b1",0.550734692749435,1,0
"43",5,3,30,1,1,"tau",0.294135946995388,0.5,0
"44",5,3,30,1,1,"size",0.435753263580774,0.5,0
"45",5,3,30,1,1,"shape",0.437114644465209,0.1,0
"46",1,3,30,1,2,"size",0.331939869166175,0.333666666666667,0
"47",1,3,30,1,2,"shape",0.00100000000004813,0.333,0
"48",1,3,30,1,2,"color",0.667060130833777,0.333333333333333,0
"49",1,3,30,1,2,"lambda",2.06956966071063,5,0
"50",1,3,30,1,2,"b0",0.705533801586844,1,0
"51",1,3,30,1,2,"b1",0.294466198413156,1,0
"52",1,3,30,1,2,"tau",0.046314757452452,0.5,0
"53",1,3,30,1,2,"size",0.331939869166175,0.5,0
"54",1,3,30,1,2,"shape",0.00100000000004813,0.1,0
