"","run","discount","nblock","type","row","names","par","true_par","convergence"
"1",1,0,30,1,1,"size",0.199917301347207,0.01,0
"2",1,0,30,1,1,"shape",0.00100001399910191,0.01,0
"3",1,0,30,1,1,"color",0.799082684653691,0.98,0
"4",1,0,30,1,1,"lambda",1.96063794243177,1,0
"5",1,0,30,1,1,"b0",0.492087020182523,0.5,0
"6",1,0,30,1,1,"b1",0.507912979817477,0.5,0
"7",1,0,30,1,1,"tau",0.15863775610672,0.1,0
"8",2,0,30,1,1,"size",0.001,0.01,0
"9",2,0,30,1,1,"shape",0.380923242469003,0.01,0
"10",2,0,30,1,1,"color",0.618076757530997,0.98,0
"11",2,0,30,1,1,"lambda",6.76066491509445,1,0
"12",2,0,30,1,1,"b0",0.945150542770302,0.5,0
"13",2,0,30,1,1,"b1",0.0548494572297057,0.5,0
"14",2,0,30,1,1,"tau",0.134969779733558,0.1,0
"15",3,0,30,1,1,"size",0.00100000620643283,0.01,0
"16",3,0,30,1,1,"shape",0.001,0.01,0
"17",3,0,30,1,1,"color",0.997999993793567,0.98,0
"18",3,0,30,1,1,"lambda",4.43091463587213,1,0
"19",3,0,30,1,1,"b0",0.0640916661019527,0.5,0
"20",3,0,30,1,1,"b1",0.935908333898047,0.5,0
"21",3,0,30,1,1,"tau",0.208891911465426,0.1,0
"22",4,0,30,1,1,"size",0.160089454131306,0.01,0
"23",4,0,30,1,1,"shape",0.00100000004659433,0.01,0
"24",4,0,30,1,1,"color",0.8389105458221,0.98,0
"25",4,0,30,1,1,"lambda",2.36378845121138,1,0
"26",4,0,30,1,1,"b0",0.412243584425528,0.5,0
"27",4,0,30,1,1,"b1",0.587756415574467,0.5,0
"28",4,0,30,1,1,"tau",0.200043873261906,0.1,0
"29",5,0,30,1,1,"size",0.00100002506201484,0.01,0
"30",5,0,30,1,1,"shape",0.001,0.01,0
"31",5,0,30,1,1,"color",0.997999974937985,0.98,0
"32",5,0,30,1,1,"lambda",3.93383620055066,1,0
"33",5,0,30,1,1,"b0",0.490243001034764,0.5,0
"34",5,0,30,1,1,"b1",0.509756998965236,0.5,0
"35",5,0,30,1,1,"tau",0.201175990936424,0.1,0
